delta,sim,method,coverage_overall,coverage_high_vol,coverage_low_vol
0.25,36,vol_scaling,0.832,0.968,0.696
0.25,37,standard,0.856,0.856,0.856
0.25,37,saci,0.848,0.856,0.84
0.25,37,vol_scaling,0.808,0.976,0.64
0.25,38,standard,0.916,0.92,0.912
0.25,38,saci,0.912,0.936,0.888
0.25,38,vol_scaling,0.864,0.984,0.744
0.25,39,standard,0.892,0.888,0.896
0.25,39,saci,0.9,0.896,0.904
0.25,39,vol_scaling,0.848,0.976,0.72
0.25,40,standard,0.908,0.888,0.928
0.25,40,saci,0.912,0.896,0.928
0.25,40,vol_scaling,0.796,0.936,0.656
0.25,41,standard,0.884,0.84,0.928
0.25,41,saci,0.88,0.848,0.912
0.25,41,vol_scaling,0.852,0.992,0.712
0.25,42,standard,0.904,0.904,0.904
0.25,42,saci,0.908,0.904,0.912
0.25,42,vol_scaling,0.86,0.992,0.728
0.25,43,standard,0.896,0.888,0.904
0.25,43,saci,0.9,0.896,0.904
0.25,43,vol_scaling,0.82,0.976,0.664
0.25,44,standard,0.92,0.88,0.96
0.25,44,saci,0.924,0.888,0.96
0.25,44,vol_scaling,0.844,0.976,0.712
0.25,45,standard,0.916,0.88,0.952
0.25,45,saci,0.916,0.88,0.952
0.25,45,vol_scaling,0.88,0.992,0.768
0.25,46,standard,0.9,0.888,0.912
0.25,46,saci,0.912,0.912,0.912
0.25,46,vol_scaling,0.78,0.96,0.6
0.25,47,standard,0.88,0.896,0.864
0.25,47,saci,0.884,0.912,0.856
0.25,47,vol_scaling,0.768,0.984,0.552
0.25,48,standard,0.94,0.936,0.944
0.25,48,saci,0.936,0.928,0.944
0.25,48,vol_scaling,0.86,0.992,0.728
0.25,49,standard,0.836,0.824,0.848
0.25,49,saci,0.84,0.848,0.832
0.25,49,vol_scaling,0.848,0.984,0.712
0.25,50,standard,0.896,0.872,0.92
0.25,50,saci,0.916,0.928,0.904
0.25,50,vol_scaling,0.856,0.984,0.728
0.25,51,standard,0.86,0.856,0.864
0.25,51,saci,0.868,0.872,0.864
0.25,51,vol_scaling,0.856,0.984,0.728
0.25,52,standard,0.912,0.888,0.936
0.25,52,saci,0.904,0.888,0.92
0.25,52,vol_scaling,0.84,0.96,0.72
0.25,53,standard,0.908,0.896,0.92
0.25,53,saci,0.904,0.896,0.912
0.25,53,vol_scaling,0.848,0.992,0.704
0.25,54,standard,0.916,0.88,0.952
0.25,54,saci,0.908,0.88,0.936
0.25,54,vol_scaling,0.9,1.0,0.8
0.25,55,standard,0.888,0.848,0.928
0.25,55,saci,0.88,0.84,0.92
0.25,55,vol_scaling,0.86,0.976,0.744
0.25,56,standard,0.908,0.896,0.92
0.25,56,saci,0.916,0.912,0.92
0.25,56,vol_scaling,0.904,1.0,0.808
0.25,57,standard,0.912,0.864,0.96
0.25,57,saci,0.912,0.864,0.96
0.25,57,vol_scaling,0.864,0.976,0.752
0.25,58,standard,0.924,0.904,0.944
0.25,58,saci,0.92,0.904,0.936
0.25,58,vol_scaling,0.856,0.976,0.736
0.25,59,standard,0.836,0.8,0.872
0.25,59,saci,0.84,0.808,0.872
0.25,59,vol_scaling,0.84,0.968,0.712
0.25,60,standard,0.888,0.864,0.912
0.25,60,saci,0.892,0.872,0.912
0.25,60,vol_scaling,0.804,0.952,0.656
0.25,61,standard,0.916,0.896,0.936
0.25,61,saci,0.9,0.864,0.936
0.25,61,vol_scaling,0.856,0.984,0.728
0.25,62,standard,0.928,0.92,0.936
