method,lambda,beta,crowding_bin,covered,set_size,crowding,factor
crowding_weighted,0.5,,high,1,1,0.7111401128208492,MKT
crowding_weighted,0.5,,high,1,1,0.6508947485997786,MKT
crowding_weighted,0.5,,high,1,1,0.615844744204292,MKT
crowding_weighted,0.5,,medium,1,1,0.5279219880721183,MKT
crowding_weighted,0.5,,medium,1,1,0.47371312484374034,MKT
crowding_weighted,0.5,,medium,1,2,0.5174461853125949,MKT
crowding_weighted,0.5,,medium,1,1,0.5225436304910874,MKT
crowding_weighted,0.5,,high,1,1,0.5851710483056328,MKT
crowding_weighted,0.5,,high,1,1,0.5561539491236668,MKT
crowding_weighted,0.5,,high,0,1,0.5604445005353708,MKT
crowding_weighted,0.5,,high,0,1,0.5484874157821733,MKT
crowding_weighted,1.0,,high,1,2,0.7059764388044797,MKT
crowding_weighted,1.0,,high,1,1,0.7111401128208492,MKT
crowding_weighted,1.0,,high,1,2,0.6508947485997786,MKT
crowding_weighted,1.0,,high,1,1,0.615844744204292,MKT
crowding_weighted,1.0,,medium,1,2,0.5279219880721183,MKT
crowding_weighted,1.0,,medium,1,1,0.47371312484374034,MKT
crowding_weighted,1.0,,medium,1,2,0.5174461853125949,MKT
crowding_weighted,1.0,,medium,1,1,0.5225436304910874,MKT
crowding_weighted,1.0,,high,1,1,0.5851710483056328,MKT
crowding_weighted,1.0,,high,1,1,0.5561539491236668,MKT
crowding_weighted,1.0,,high,1,2,0.5604445005353708,MKT
crowding_weighted,1.0,,high,0,1,0.5484874157821733,MKT
crowding_weighted,2.0,,high,1,2,0.7059764388044797,MKT
crowding_weighted,2.0,,high,1,1,0.7111401128208492,MKT
crowding_weighted,2.0,,high,1,2,0.6508947485997786,MKT
crowding_weighted,2.0,,high,1,1,0.615844744204292,MKT
crowding_weighted,2.0,,medium,1,2,0.5279219880721183,MKT
crowding_weighted,2.0,,medium,1,1,0.47371312484374034,MKT
crowding_weighted,2.0,,medium,1,2,0.5174461853125949,MKT
crowding_weighted,2.0,,medium,1,1,0.5225436304910874,MKT
crowding_weighted,2.0,,high,1,1,0.5851710483056328,MKT
crowding_weighted,2.0,,high,1,1,0.5561539491236668,MKT
crowding_weighted,2.0,,high,1,2,0.5604445005353708,MKT
crowding_weighted,2.0,,high,1,2,0.5484874157821733,MKT
crowding_weighted,5.0,,high,1,2,0.7059764388044797,MKT
crowding_weighted,5.0,,high,1,2,0.7111401128208492,MKT
crowding_weighted,5.0,,high,1,2,0.6508947485997786,MKT
crowding_weighted,5.0,,high,1,1,0.615844744204292,MKT
crowding_weighted,5.0,,medium,1,2,0.5279219880721183,MKT
crowding_weighted,5.0,,medium,1,1,0.47371312484374034,MKT
crowding_weighted,5.0,,medium,1,2,0.5174461853125949,MKT
crowding_weighted,5.0,,medium,1,1,0.5225436304910874,MKT
crowding_weighted,5.0,,high,1,1,0.5851710483056328,MKT
crowding_weighted,5.0,,high,1,2,0.5561539491236668,MKT
crowding_weighted,5.0,,high,1,2,0.5604445005353708,MKT
crowding_weighted,5.0,,high,1,2,0.5484874157821733,MKT
cao,,0.25,high,1,1,0.7059764388044797,MKT
cao,,0.25,high,1,1,0.7111401128208492,MKT
cao,,0.25,high,1,1,0.6508947485997786,MKT
